#Digilent WaveForms Spectrum Components T1
#Device Name: Discovery2
#Serial Number: SN:210321AE069D
#Date Time: 2024-10-24 14:36:25.652

Frequency,Magnitude
5.3101 kHz,3.226 dB?
10.62 kHz,1.407 dB?
15.93 kHz,-2.0684 dB?
21.24 kHz,-8.6202 dB?
37.109 kHz,-9.5253 dB?
42.419 kHz,-10.5402 dB?
31.86 kHz,-12.55 dB?
63.66 kHz,-14.2431 dB?
68.97 kHz,-14.7052 dB?
47.729 kHz,-15.4675 dB?
90.21 kHz,-17.3144 dB?
95.52 kHz,-17.4927 dB?
58.35 kHz,-17.9993 dB?
74.28 kHz,-19.113 dB?
122.01 kHz,-19.5505 dB?
116.7 kHz,-19.5841 dB?
148.56 kHz,-21.2033 dB?
143.25 kHz,-21.4007 dB?
84.9 kHz,-21.4591 dB?
100.77 kHz,-21.5803 dB?
175.05 kHz,-22.5659 dB?
169.74 kHz,-22.9094 dB?
127.32 kHz,-23.412 dB?
201.6 kHz,-23.7301 dB?
111.39 kHz,-24.0236 dB?
196.29 kHz,-24.2021 dB?
228.09 kHz,-24.7445 dB?
153.87 kHz,-24.8707 dB?
222.84 kHz,-25.346 dB?
245.36 kHz,-25.6238 dB?
180.36 kHz,-26.0555 dB?
137.94 kHz,-26.0906 dB?
249.33 kHz,-26.3345 dB?
218.81 kHz,-26.4191 dB?
206.91 kHz,-27.0592 dB?
192.32 kHz,-27.12 dB?
224.12 kHz,-27.2427 dB?
165.77 kHz,-27.7654 dB?
164.43 kHz,-27.8367 dB?
233.4 kHz,-27.9181 dB?
197.63 kHz,-28.0569 dB?
139.28 kHz,-28.3489 dB?
240.05 kHz,-28.6614 dB?
171.08 kHz,-28.813 dB?
112.73 kHz,-28.8818 dB?
213.5 kHz,-29.3248 dB?
190.98 kHz,-29.3481 dB?
86.182 kHz,-29.3822 dB?
144.59 kHz,-29.5115 dB?
59.692 kHz,-29.8202 dB?
